"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:alemma,[word=""black""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2014-01-02","New Year''s Eve party in Las Vegas on Tuesday (December 31). </s><s> The 32-year-old former reality star donned a sexy","black","dress and heels as she made her way into the party. </s><s> Recently, Miss Hilton made a pretty big claim about her success as a new"
"2014-01-11",". </s><s> Supt. </s><s> Melecio ""Bong"" Buslig, chief of police, said his men were manning a checkpoint in Cabcaben when a speeding","black","Euro 110 motorcycle without headlight, driven by Mark Johnwell Icamen, bumped their PNP checkpoint signage in front"
"2014-01-24","Barber said about Sen. Scott. </s><s> He used exactly the slur Maloy falsely ascribed to us. </s><s> Now one might say it''s one thing for a","black","person to use a racial slur against another black person, and something else entirely for a white person to do so. </s><s> We"
"2014-03-01","in the Top End community of Numbulwar have been handed back to locals, after spending 50 years in a Dutch museum. </s><s> The","black","and white images were take around the former mission site, 400 kilometres east of Katherine, by anthropologist Alex"
"2014-03-03","that the two-hour protest began with a mass prayer service, with some of the Haredi protesters, wearing traditional","black","hats and long black jackets, carrying signs in Hebrew and English criticizing the government for trying to suppress"
"2014-03-04","integrated for a black player to be a captain without his race being an issue; i.e. could you just be a captain, not a ""","black","captain?"" </s><s> I think it can happen in US sports but English football is not there yet. </s><s> Which current talented black player"
"2014-03-06","of person who will walk up to you and ask you where you go to church,"" she says -- she quickly gauged an interest among local","black","women in being part of something like Golden Links. </s><s> Golden Links is largely comprised of retired professionals, many"
"2014-03-21","some runs no one had ever ridden. </s><s> Who knows, maybe they''ll name it Shred the Nar?"" </s><s> There were, unfortunately, a pair of","black","marks on the trip. </s><s> In February while riding Murray Ridge in Fort St. James Berger suffered a torn ligament in his"
"2014-05-14","satin short-sleeved top featuring a snakeskin peplum detail. </s><s> She jazzed up her outfit with sheer black stockings and","black","suede knee-high boots. </s><s> She accessorised with a pretty gold spiky necklace and chunky bracelet, while she wore her"
"2014-05-16","R1, the buttons on the phone will be made from titanium and will be priced at $2,500. </s><s> The Radical Black R2 will feature","black","titanium buttons and an 18K yellow gold Gresso logo and is priced at $3,000. </s><s> The Radical Black R3 will also sport black"
"2014-06-11",", California or New Mexico, guajillo, mulato and pasilla in all colors: red, black, beige or the characteristic burnt","black","chilies, a result of a process I''d not recommend trying at home; it can bring on a form of instant bronchitis. </s><s> Buy them"
"2014-07-10","future health: the lack of inner-city participation and corresponding future interest, especially American-born","black","youngsters, and the ongoing slow pace of the game, which has resulted in 3-plus-hour games being the norm at the big"
"2014-07-14",". </s><s> My test car was loaded up with the Premium Trim Package, two safety packages, navigation, a Bose premium audio system,","black","17-inch wheels and white diamond paint for a grand total of $40,640. </s><s> That''s a lot of money for a car as small as the Volt,"
"2014-07-21","t-shirt. </s><s> How Kylie managed to run the bases in those kicks we don''t know, but hey, she looks glam! </s><s> As for Kendall? </s><s> She wore","black","pants, black boots, a hat, and a white jersey. </s><s> Yes, Kylie and Kendall played for different teams! </s><s> ""Sibling rivalry,"""
"2014-08-04","a malicious Microsoft Word document before creating a hidden encoded autostart registry key, malware researcher and","black","hat exterminator Paul Rascagneres (@r00tbsd) says. </s><s> It then creates and executes shellcode and a payload Windows"
"2014-10-01","ago, according to employees. </s><s> In all of the robberies the suspect description is the same: A Hispanic male with long","black","hair, about 5 feet 2 inches tall and is driving a red Chevy Impala. </s><s> In the Pasadena robbery he was wearing a cowboy hat,"
"2014-10-16","the years I''ve witnessed Mustang Monthly grow in size, gain readership, move to an all-color format (remember the old","black","and white tech photos? </s><s> Yuck!), and adjust its content accordingly. </s><s> We''ve removed columns and added columns. </s><s> We know"
"2014-11-02","University studying what things like colliding black holes and wormholes actually look like. </s><s> We also provided","black","hole visualizations for the special effects team of Interstellar. </s><s> AUA! </s><s> We work in the field of numerical relativity,"
"2014-11-06","ones. </s><s> And that potential white tenants sometimes deserve money off to sweeten the deal. </s><s> It''s likely that if you''re","black","in America you will experience some moments that don''t jibe with the positive messages you''re hearing about the state"
"2014-11-10","her characer''s normal colourful attire, the four-times British Soap Awards'' Sexiest Woman, chose a comfortable all","black","ensemble of leggings and T-shirt, with a long padded coat. </s><s> She accessorised her outfit with a pair of black knee high"
"2014-11-25","in a brown tie-waist jacket. </s><s> She teamed the cashmere coat with a black long-sleeve top, skinny blue jeans along with","black","and white wingtip loafers. </s><s> The Summertime Sadness singer completed the look with a navy blue cuffed beanie over her"
"2014-12-01",", it nips in and lets out in all the right places. </s><s> The dark navy color is a superb choice, too: it slims the figure like","black","would, but feels softer than the alternative. </s><s> Seeing as the Duchess recently took her former personal assistant"
"2014-12-24","situation in the island with parcels from around the world delivered over a six-month period. </s><s> Officer shoots, kills","black","teen in Missouri </s><s> A police officer shot and killed an armed man late Tuesday in Berkeley, Missouri. </s><s> Local news outlets"
"2015-02-04","be honest with you. </s><s> A few people have said something about it and there was a lot of posts on Facebook. </s><s> The suspect, who is","black","and in his twenties, ran off towards Wallace Road, emptyhanded. </s><s> Anyone with information should call Grays police on"
"2015-03-31","three or four times a year to observe seasonal changes,"" Hayes said Friday. </s><s> The students, decked out in their red and","black","Penryn Panthers shirts, participated in a nature walk to the quarry, outdoor observations exercises, an egg hunt and"
"2015-03-11","get through, show your ID."" </s><s> The voice came from a student carrying a megaphone. </s><s> Behind her, 30 students, most dressed in","black",", linked arms to form a line that stretched across the entrance to the library. </s><s> The checkpoints, organized by UC Santa"
"2015-03-19","first time Nori has slipped into a ballerina outfit! </s><s> Last month Kim posted a number of pictures on Instagram of Nori in a","black","tutu, and it turns out she''s been taking tap classes with cousin Penelope. </s><s> Kourtney took her little girl to class on"
"2015-04-24","instructions to the jury concerning elements of the murder charge. </s><s> His attorney also should have objected when ""1 or 2""","black","jurors were stricken from the jury based on race, the document says. </s><s> The attorney similarly should have objected to a"
"2015-04-19","but the fact is black women suffer the same injustices. </s><s> Silence, motivated by sexism and patriarchy, in mainstream and","black","America is the only reason why it isn''t widely acknowledged. </s><s> And it''s holding the fight for justice back. </s><s> Including"
"2015-05-23","<s> ""Unmistakable and invulnerable, a floating village in steel, the Lusitania glided by in the night as a giant","black","shadow cast upon the sea. ..."" </s><s> ""When you think about the Lusitania, it''s really been tucked away in high school"
"2015-06-03",". </s><s> ""Any terrorist I have ever met through my academic work had a highly over simplified view of the world, which they saw in","black","and white terms,"" Louise said. </s><s> ""Education robs you of that simplification and certitude. </s><s> Education is the best"
"2015-06-17","passenger seat. </s><s> Danny Padilla then produced a sunglasses case containing a clear plastic bag containing marijuana, a","black","grinder with marijuana residue and a blue glass pipe with marijuana residue, the affidavit reads. </s><s> Danny Padilla was"
"2015-07-15","classic style is luxurious and sophisticated. </s><s> It is preferable to choose the wall colors in shades of gold, brown and","black","with silver or gold because these colors give the walls a luster of gold and fill the house corridors with light, luxury"
"2015-08-28","thirty yards on the right side at around the 85th minute, and King sent this one hard and diving low, so it bounced in the","black","dust at the edge of the 6-yard box, where his alert teammate Orland Trapp appeared to help it along into the net past a"
"2015-09-05","speciesStrange and endangered species - A bowhead whale swims under ice in the Arctic. </s><s> Adult bowheads are entirely","black","except for the front part of the lower jaw, which is white and prominently upturned. </s><s> They can grow up to 60 feet long while"
"2015-10-02","looked to him when the United States was shaken by the violence in Ferguson, Missouri, following the shooting of a young","black","man by police, and again when a gunman entered a church in Charleston, South Carolina and shot nine black worshippers. </s><s> """
"2015-10-02","along to Jay Z''s ""Empire State of Mind."" </s><s> Just as he comes to the point where Jay Z says the n-word, Bell''s character, who is","black",", shouts, ""no, no, no, no, no"" to his friend, who is white. </s><s> ""I get it, I can''t say that word,"" Gosselaar says. </s><s> ""But now I ca"
"2015-10-03","38 catches in his first two seasons, Givens caught 11 passes last year and has one catch this season. </s><s> Investigators say a","black","man, approximately 30 years of age, between 6 feet and 6 feet 3 inches tall, weighing 250 pounds, with a bandanna"
"2015-10-12","to people''s psychosis. </s><s> They compared them to 16 healthy volunteers and asked them if they could make sense of vague","black","and white images. </s><s> All of them were then shown the full colour original picture to improve the brain''s ability to"
"2015-11-08","a weekly influx of Eurotrippers to revitalise the party; I can''t wait to join. </s><s> The lobby entrance to the hostel is pitch","black",". </s><s> I trip on a small set of stairs in the dark. </s><s> This is my third time in a hostel but the first time the movie comes to mind. </s><s> Out"
"2015-11-17","lawmakers responded they owed little to the DCCC. </s><s> They said the committee took them for granted by assuming","black","incumbents would win because they represent overwhelmingly minority districts and that it gave short shrift to"
"2015-11-25","investigating they found a woman had been forced into her apartment at gunpoint. </s><s> A man and woman stole the victim''s 2013","black","Dodge Avenger, which had a Missouri license plate. </s><s> Anyone who has any information surround the shootings or home"
"2016-01-08","then added; ''Pray for my sissy.. </s><s> My baby sissy...beautiful smart and undeserving.'' </s><s> KTLA reports that the gunman is a ''","black","man wearing a gray hooded sweatshirt and blue beanie'' who sped of in a dark-colored SUV. </s><s> ''Kristine was exceptionally"
"2016-01-11","black hole, some scientists have theorized. </s><s> A black hole''s mass is concentrated to a single point deep in its core. </s><s> The","black","hole located at the center of the Milky Way is estimated to have a mass equal to around 2,500,000 suns. </s><s> Ozel said the"
"2016-01-27",", police confirmed. </s><s> Now detectives want to trace the man on camera (above), described as thin, in his 20s, with short","black","hair, who was wearing a camouflage-style jacket over a blue hooded top, dark blue trousers and grey trainers. </s><s> Anyone"
"2016-02-04","of Protocol in consultation with the Office of the First Lady of the United States. </s><s> Official dinners are generally","black","tie occasions, while state dinners may be either black tie or white tie with decorations. </s><s> The president of the United"
"2016-02-18","from Nudie Jeans Co. (nudiejeans.com). </s><s> Once you''re home, you''ll be adamant on throwing out everything that''s not","black","as colour doesn''t seem to feature in the Scandi style book. </s><s> Haga, Gothenburg''s quaintest neighbourhood with"
"2016-02-22","advocacy all he wants. </s><s> Because as of last night, the comedian veered into a territory that transcended any goal of pitch","black","hilarity, delivering near perfect arguments about two (mutually exclusive) topics that currently ail us: Hollywood"
"2016-03-01",". </s><s> The report states that an employee of the cleaning service was watching another employee when she ""was carrying a","black","Annie Camp backpack and it appears to have stuff inside the bag."" </s><s> The employee told police that she believed the suspect"
"2016-03-07","his dislike of the Hutchison design. </s><s> Garbutt''s map restored curves and bends to the diagram, but retained Hutchison''s","black","interchange circles (the squares however were replaced with circles with a dot inside). </s><s> Garbutt continued to produce"
"2016-03-16","; and another in Cagayan, according to its official website. </s><s> Like so much else about the presidency of America''s first","black","commander-in-chief, Inside Obama''s White House (BBC2) was a sad disappointment. </s><s> For all its promises, the first half"
"2016-03-16","slippers with the heart and bow detailing as well as low-heeled boots and a peep-toe mule ranging in colors from nude and","black","to bubblegum pink and electric blue. </s><s> The quirky offering features an inflatable nozzle detail on the shoes"
"2016-04-01","the incident happened. </s><s> It shows the alleged thief, who appears to be between 40 to 60 years old, wearing glasses and a","black","jacket walking away. </s><s> Less than two weeks ago, on March 19, the man followed 43-year-old man into his residence and"
"2016-04-01","stolen at gunpoint. </s><s> The stolen vehicle is a Hyundai Santa Fe with Texas license plates and has not yet been located. </s><s> The","black","sedan that the man burned was later found to have been a stolen vehicle from Chandler. </s><s> Authorities said people who can"
"2016-04-02","gun. </s><s> In February 2007, a Leflore County grand jury, composed primarily of black jurors and empaneled by Joyce Chiles, a","black","prosecutor, found no credible basis for Beauchamp''s claim that 14 people took part in Till''s abduction and murder. </s>"
"2016-04-05","he feared for his life and did not shoot at Morales, but after a few seconds Morales threw the object in the air, which was a","black","wallet. </s><s> ""You should have just (expletive) shot me. </s><s> I wanted you to shoot me, why do you think I pointed my wallet at you?"" </s>"
"2016-05-05","73 million light-years from Earth in the direction of the southern constellation Eridanus. </s><s> ""Measuring the mass of a","black","hole accurately is very challenging, even with the most powerful telescopes on Earth or in space,"" Barth said. </s><s> ""ALMA"
"2016-05-12","<s> His previous crime occurred on April 25. </s><s> At the time of the crime, the suspect was wearing blue jean shorts, black shirt,","black","baseball cap and light-colored sneakers. </s><s> Brokers Set Expectations for DTS Inc.''s FY2016 Earnings (DTSI) </s><s> Get a free"
"2016-05-14","processes. </s><s> ""The centre supports 19 enterprises, of which 16 are owned by black entrepreneurs, including 10 led by","black","women,"" she said at the opening. </s><s> Pandor praised Somo''s business and said it should continue to work towards achieving"
"2016-05-20","in the city are too quick to use their guns, especially when confronting minorities. </s><s> The shooting of Mario Woods, a","black","man suspected in a stabbing, in December promoted a backlash against the department. </s><s> A scandal also erupted after"
"2016-05-28","it would be an extraordinary opportunity."" </s><s> Ever since 2006, Bond fans have gotten used to seeing 48-year-old Craig in a","black","tuxedo taking down bad men. </s><s> While he had been successful in portraying the iconic character on screen, after four films"
