"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:alemma,[word=""black""][word=""leather""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2014-01-25","from Chuck Berry to Daft Punk. </s><s> The latest is singer-songwriter Jake Bugg. </s><s> In Hedi Slimane''s shoot he wears a classic L01","black leather","motorcycle jacket and cradles an acoustic guitar, looking uncannily like a youthful Jagger. </s><s> The working-class"
"2014-02-13","susses them they are not going to be able to run after them, but it might not be that."" </s><s> Her late mother had given her the","black leather","purse, with multiple compartments, as a present and Mrs Butcher said it is of high sentimental value to her. </s><s> An Essex"
"2014-03-03","tweeted by @evleaks shows what appears to be a Chrome OS-powered notebook featuring a back wrapped in textured fake","black leather","and framed by stitching on the edges, much like last year''s Galaxy Note 3 and the recently announced Black Edition of the"
"2014-03-04","come with a Note 3-like faux leather design. </s><s> Prolific tipster EVLeaks has posted an image of the Chromebook showing a","black leather","back with grey stitching. </s><s> The tweet reads, ""Chromebook 2."" </s><s> In 2013, Chromebooks surpassed Apple''s Macbooks, and"
"2014-04-09","in the hearing. </s><s> Kim Kardashian: Off to the Office </s><s> The ""Keeping Up with the Kardashians"" cutie looked lovely in a","black leather","jacket, with grey jeans and nude heels as she sorted out some business affairs. </s><s> Earlier this week, Kim fired back at"
"2014-05-07","outing just like a catwalk, dressing to impress. </s><s> Nicole showed off her stunning runway ready physique in a pair of sleek","black leather","pants, while Jessica kept it casual in jeans. </s><s> And the model who has fearlessly spoken her mind on the reality series,"
"2014-05-18","The Voice because she ''doesn''t have a back up''. </s><s> Looking simply stunning in mammoth heels, skin tight black leggings, a","black leather","jacket and a blue top, the teen burst into Think by Aretha Fanklin, but unfortunately, not one of the judges spun around"
"2014-07-15","vintage sundress that I wore until it was tattered and have always planned on taking to the tailor; and my perfect,","black leather","jacket that I got from Topshop when I first visited NYC years ago."" </s><s> ""I''m ashamed to say that I wore a lot of Abercrombie &"
"2014-07-22","to save him from himself. </s><s> Every head queried in unison, ""What do you think?"" </s><s> David, still sunk into the Sienna''s","black leather","interior, remained silent for a few seconds. </s><s> His eyes started watering. </s><s> Every memory from the last five years came"
"2014-08-25","could have really prepared us, but we were duly warned. </s><s> On Sunday night, Miley turned up in simple (by-her-standards)","black leather",", preferring to put the focus on her words and her music instead of her antics. </s><s> Speaking of antics, last year''s Miley, in"
"2014-08-28","Sydney on Tuesday night and staying true to her fashionista reputation, she travelled in style. </s><s> Dressed in skin-tight","black leather","trousers, the other half of blues musician Gary Clarke Jr used the arrivals hall as she would the catwalk. </s><s> She matched"
"2014-09-14","David Miranda. </s><s> The interview was scheduled for exactly 35 minutes by special ops, but Greenwald was happy to sit in his","black leather","chair and talk for as long as required. </s><s> Wikileaks and your project are not just new media models, they''re kind of like new"
"2014-09-18","short drive away, seated off a dirt road in the woods of Rensselaer County. </s><s> Mistress Couple, who had striking red lips, a","black leather","dress, and tall black laced boots, invited me into her home and graciously agreed to tell me anything I wanted to know"
"2014-09-23","is described as being 20 to 22 years old, ""skinny"" and weighting roughly 125 pounds. </s><s> The girl reported he was wearing a","black leather","jacket, a yellow shirt, blue jeans and orange tennis shoes with white stripes. </s><s> Anyone with information is asked to call"
"2014-10-13","and more refined. </s><s> After banging up my previous iPhone on the floor one too many times, I decided to spring for the","black leather","case that Apple manufactures. </s><s> Having seen a few of the leather variations in person - brown and red, specifically - I''m"
"2014-11-12","face isn''t shown during the clip. </s><s> But Justin''s voice is heard as he addresses a seated Kendall, seen wearing the same","black leather","pants and tan coat she wore to a Hillsong Church service with Justin and best friend Hailey Baldwin, in New York City on"
"2014-11-14",", layered one atop the other. </s><s> The cavernous waiting area was empty except for a handful of pillar candles and a pair of","black leather","lounges that faced a large window overlooking the valley. </s><s> The scene was somehow monastic and sensuous at the same time"
"2014-12-10","Wales. </s><s> Despite the trailer containing the furniture being securely padlocked, thieves broke in and removed 12 sets of","black leather","sofas and 7 sets of brown leather sofas, valued at about £11,000. </s><s> Police Constable Michael Parker said the theft from"
"2014-12-25","sick kids </s><s> It''s the stop that he saved for his very last of the season -- the most special one of all, he says. </s><s> The soles of his","black leather","boots are worn to below the stitching, partly from the 200,000-plus miles he estimates he''s put on them on his"
